Reading_Id,CycleId,Vehicle_Id,ReadoutDate,IncomingDate,Sender,LoggedPatternId,BatterySlot,Max_Curr,Min_Curr,Avg_Curr,Max_SOC,Min_SOC,Avg_PackTemp,Max_AvgCellTemp,Min_AvgCellTemp,Max_CellVolt,Min_CellVolt,Max_PackVolt,Min_PackVolt,Max_Power,Min_Power,Avg_Power,Total_CapThroughput,Total_EnergyCharged,Total_EnergyDischarged,Total_OpTime,CycleType,Buffer,Gen
2588727978,433,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,1,58.2,-70,-8.75,49.805,46.155,22.1,22.3,22.1,3.725,3.644,670.5,656.3,39,-46.04,-5.76,4.16,0.53,2.22,1054,Drv,1,1
2588727978,433,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,2,59.3,-70.6,-8.75,49.77,46.1425,22.4,22.4,22.3,3.726,3.641,670.5,656.1,39.74,-46.44,-5.76,4.21,0.55,2.23,1054,Drv,1,1
2588727978,433,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,3,59.4,-70.7,-8.6,49.6775,46.08,22.5,22.7,22.4,3.725,3.641,670.5,656.1,39.82,-46.42,-5.68,4.2,0.56,2.21,1054,Drv,1,1
2588727978,433,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,4,59.2,-71.1,-8.75,49.795,46.1275,22.2,22.3,22.1,3.725,3.641,670.6,656.2,39.68,-46.7,-5.76,4.2,0.54,2.23,1054,Drv,1,1
2620410520,455,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,1,0.1,-7.3,-0.3,26.965,23.83,18.6,18.9,18,3.622,3.602,654.3,649.9,0,-3.02,-0.2,0.32,0,0.2,3836,Drv,5,1
2620410520,455,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,2,0.1,-0.6,-0.35,25.085,23.755,18.6,18.9,18,3.621,3.604,654.6,650,0,-0.4,-0.2,0.34,0,0.22,3834,Drv,5,1
2620410520,455,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,3,0.1,-0.5,-0.3,24.775,23.53,18.9,19.3,18.4,3.619,3.604,654.3,650,0,-0.32,-0.2,0.32,0,0.21,3833,Drv,5,1
2620410520,455,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,4,0,-0.6,-0.4,25.0225,23.74,18.3,18.7,17.8,3.621,3.605,653.5,650.1,0,-0.4,-0.26,0.42,0,0.27,3834,Drv,5,1
2620410520,457,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,1,0,-6.9,-0.25,24.8275,22.0625,18.5,18.8,17.9,3.616,3.595,653.3,648.9,0,-2.92,-0.16,0.24,0,0.15,3836,Drv,3,1
2620410520,457,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,2,0,-0.6,-0.25,23.305,22.04,18.5,18.7,17.9,3.615,3.596,652.6,648.8,0,-0.38,-0.18,0.27,0,0.17,3834,Drv,3,1
